LC_UNQ,USE_NAME,LC25,LC25_name,Segmentation,LCTrans,LCTrans_name,LC5_name,LC8,LC8_name,LC10,LC10_name,LC5,perLC25E,LC3,LC3_name,LC3sm,LC3sm_name,LC4,LC4_name,LC2,LC2_name,LC_crops,LC_crops_name,Description
0,NoCrop,99,unknown,NoCrop,0,NoCrop,unknown,99,unknown,99,unknown,99,,0,nocrop,0,nocrop,99,unknown,0,nocrop,10,Not crop,
1,NoVeg,99,unknown,NoVeg,1,NoVeg,NoVeg,1,noVeg,1,noVeg,10,,0,nocrop,0,nocrop,0,nocrop,0,nocrop,10,Not crop,"nonvegetated area (unkown if water, bare or built)"
2,NoVeg_Bare,2,NoVeg_Bare,,2,NoVeg_Bare,NoVeg,1,noVeg,1,noVeg,10,0.005302312,0,nocrop,0,nocrop,0,nocrop,0,nocrop,10,Not crop,Bare soil/rock/sand throughout the year (NOT part of crop cycle)
3,NoVeg_Built,3,NoVeg_Built,,3,NoVeg_Built,NoVeg,1,noVeg,1,noVeg,10,0.003224395,0,nocrop,0,nocrop,0,nocrop,0,nocrop,10,Not crop,
7,NoVeg_Water,7,NoVeg_Water,,7,NoVeg_Water,NoVeg,1,noVeg,1,noVeg,10,0.028043811,0,nocrop,0,nocrop,0,nocrop,0,nocrop,10,Not crop,
9,Mixed-path,9,Mixed-path,,9,Mixed-path,NoVeg,19,mixedVeg_noCrop,19,mixedVeg_noCrop,10,0.012163824,0,nocrop,0,nocrop,0,nocrop,0,nocrop,10,Not crop,>30% NoVeg_bare/built and >30% LowVeg (and not built or New_plant) 
10,Cleared,10,Cleared,,10,Cleared,LowVeg,1,noVeg,1,noVeg,20,0.002787187,0,nocrop,0,nocrop,0,nocrop,0,nocrop,10,Not crop,"Med/High vegetation has been cleared witin the year, but no other land use is evident"
11,TreePlant-new,11,NewPlant,,11,New_plant,LowVeg,20,lowVeg_noCrop,20,lowVeg_noCrop,20,,0,nocrop,0,nocrop,0,nocrop,0,nocrop,10,Not crop,<1 year
12,Grassland-Natural,12,Grassland-Natural,,15,Grass,LowVeg,20,lowVeg_noCrop,20,lowVeg_noCrop,20,0.07428258,0,nocrop,0,nocrop,0,nocrop,0,nocrop,10,Not crop,"natural grassland, dry year-round, <30% tree cover"
13,Grassland-Managed,13,Grassland-Managed,LowVeg_grass_managed,15,Grass,LowVeg,20,lowVeg_noCrop,20,lowVeg_noCrop,20,0.183142655,0,nocrop,0,nocrop,0,nocrop,0,nocrop,10,Not crop,"planted grass or managed pasture,  <30% tree cover"
15,Grassland,99,unknown,LowVeg_grass,15,Grass,LowVeg,20,lowVeg_noCrop,20,lowVeg_noCrop,20,,0,nocrop,0,nocrop,0,nocrop,0,nocrop,10,Not crop,"grass,  <30% tree cover -- unknown if planted or natural"
17,Grassland-Wet,17,Grassland-Wet,,15,Grass,LowVeg,20,lowVeg_noCrop,20,lowVeg_noCrop,20,0.157199725,0,nocrop,0,nocrop,0,nocrop,0,nocrop,10,Not crop,natural grassland that is flooded at some point in year
18,Mixed-GrassEdge,19,Mixed-VegEdge,,19,VegEdge,LowVeg,19,mixedVeg_noCrop,19,mixedVeg_noCrop,20,0.015783197,0,nocrop,0,nocrop,0,nocrop,0,nocrop,10,Not crop,
19,Mixed-FieldEdge,19,Mixed-VegEdge,,19,VegEdge,LowVeg,19,mixedVeg_noCrop,19,mixedVeg_noCrop,20,0.015783197,0,nocrop,0,nocrop,0,nocrop,0,nocrop,10,Not crop,Mix of Crop_low and other low/med veg at edge of field
20,LowVeg,99,unknown,LowVeg,20,LowVeg,LowVeg,20,lowVeg_noCrop,20,lowVeg_noCrop,20,,0,nocrop,0,nocrop,0,nocrop,0,nocrop,10,Not crop,
23,Crops-horticulture,35,Crops-mix,,35,Crop_mix,LowVeg,35,mixedCrop,35,mixedCrop,20,0.043937724,30,crop,30,crop,30,crop,30,crop,23,Horticulture,crops with greenhouse/tarp structure for part of year
30,Crop-Low,99,unknown,Crop_low_single,30,Crop_low,LowVeg,30,lowCrop,99,unknown,20,,30,crop,30,crop,30,crop,30,crop,10,Crops-unknown,unknown annual crop
31,Crops-Soybeans,31,Crops-Soybeans,,30,Crop_low,LowVeg,30,lowCrop,31,lowCrop_sc,20,0.146892717,30,crop,30,crop,30,crop,30,crop,31,Soybeans,
32,Crops-Beans,35,Crops-mix,,35,Crop_mix,LowVeg,35,mixedCrop,35,mixedCrop,20,0.043937724,30,crop,30,crop,30,crop,30,crop,35,Smallholder mix,
33,Crops-Corn,33,Crops-Corn,,30,Crop_low,LowVeg,30,lowCrop,31,lowCrop_sc,20,0.001171451,30,crop,30,crop,30,crop,30,crop,33,Corn,
34,Crops-Mandioca,35,Crops-mix,,35,Crop_mix,LowVeg,35,mixedCrop,35,mixedCrop,20,0.043937724,30,crop,30,crop,30,crop,30,crop,35,Smallholder mix,
35,Crops-mix,35,Crops-mix,Crop_mixed,35,Crop_mix,LowVeg,35,mixedCrop,35,mixedCrop,20,0.043937724,30,crop,35,crop-mix,30,crop,30,crop,35,Smallholder mix,intercropping with each crop <30m across
36,Crops-Peanuts,35,Crops-mix,,35,Crop_mix,LowVeg,35,mixedCrop,35,mixedCrop,20,0.043937724,30,crop,30,crop,30,crop,30,crop,35,Smallholder mix,
37,Crops-Rice,37,Crops-Rice,,30,Crop_low,LowVeg,30,lowCrop,37,lowCrop_rice,20,0.014800198,30,crop,30,crop,30,crop,30,crop,37,Rice,
38,Crops-Sugar,38,Crops-Sugar,,30,Crop_low,LowVeg,30,lowCrop,38,lowCrop_sugar,20,0.003006721,30,crop,30,crop,30,crop,30,crop,38,Sugar,
40,Crop_Med,99,unknown,Crop_med,40,Crop_shrub,MedVeg,40,medCrop,40,medCrop,40,,40,medcrop,30,crop,40,medcrop,30,crop,40,Shrub crops,unknown or other shrubby perrenial crops (i.e. vineyards)
41,Crops-Vineyard,41,Crops-Vineyard,Crop_med_vineyard,40,Crop_shrub,MedVeg,40,medCrop,40,medCrop,40,,40,medcrop,30,crop,40,medcrop,30,crop,40,Shrub crops,
42,Crops-Yerba-Mate,42,Crops-Yerba-Mate,Crop_med_yerba-mate,40,Crop_shrub,MedVeg,40,medCrop,40,medCrop,40,0.008307656,40,medcrop,30,crop,40,medcrop,30,crop,40,Shrub crops,
43,Crops-Banana,43,Crops-Banana,Crop_med,40,Crop_shrub,MedVeg,40,medCrop,40,medCrop,40,0.000938968,40,medcrop,30,crop,40,medcrop,30,crop,40,Shrub crops,
45,Crops-Orchard-new,99,unknown,,11,New_plant,LowVeg,30,lowCrop,40,medCrop,20,,30,crop,30,crop,30,crop,30,crop,45,Tree crops,<1 year
46,Crops-Orchard,46,Crops-Orchard,Crop_med_orchard,46,Crop_tree,MedVeg,40,medCrop,40,medCrop,40,0.00187333,40,medcrop,30,crop,40,medcrop,30,crop,50,Tree crops,
51,Grass_tree-mix,51,Grass_tree-mix,,52,Shrub,MedVeg,50,medVeg_noCrop,50,medVeg_noCrop,50,0.008192994,0,nocrop,0,nocrop,0,nocrop,0,nocrop,10,Not crop,Grassland with trees (30-70% closed canopy)
52,Shrub,52,Shrub,MedVeg_natural,52,Shrub,MedVeg,50,medVeg_noCrop,50,medVeg_noCrop,50,0.058985599,0,nocrop,0,nocrop,0,nocrop,0,nocrop,10,Not crop,natural shrubs / regrowth
56,TreePlant-young,60,TreePlant,MedVeg_plantation,56,Young_plant,MedVeg,50,medVeg_noCrop,50,medVeg_noCrop,50,0.016314159,0,nocrop,0,nocrop,0,nocrop,0,nocrop,10,Not crop,1-2 yrs
58,Burnt-woody,58,Burnt-woody,,65,Trees_disturbed,MedVeg,50,medVeg_noCrop,50,medVeg_noCrop,50,0.000817894,0,nocrop,0,nocrop,0,nocrop,0,nocrop,10,Not crop,woody veg (shrub or trees that is burnt & browned during the year but does not appear cleared
60,TreePlant,60,TreePlant,HighVeg_plantation,60,Tree_plant,HighVeg,70,Trees,70,Trees,70,0.016314159,0,nocrop,0,nocrop,69,tree,0,nocrop,10,Not crop,age not specified (better to use age cat if known)
65,Trees-Open,65,Trees-disturbed,,65,Trees-open,HighVeg,70,Trees,70,Trees,70,0.01461672,0,nocrop,0,nocrop,69,tree,0,nocrop,10,Not crop,Mature trees with gaps (>70% closed canopy) or <10m from edge
66,TreePlant-mature,60,TreePlant,HighVeg_plantation,66,Tree_plant,HighVeg,70,Trees,70,Trees,70,0.016314159,0,nocrop,0,nocrop,69,tree,0,nocrop,10,Not crop,>=3 years
67,Trees-Forest_decid,80,Trees-Forest,,80,Trees-Forest,HighVeg,70,Trees,70,Trees,70,0.195441254,0,nocrop,0,nocrop,69,tree,0,nocrop,10,Not crop,">70% crown cover when green, but has deciduous period (~sept)"
68,Trees-Forest_palm,68,Trees-Forest_palm,,68,Trees-Palm_closed,HighVeg,70,Trees,70,Trees,70,0.002772929,0,nocrop,0,nocrop,69,tree,0,nocrop,10,Not crop,>70% canopy closure of homogenous palm trees or other forest with prominent palms
69,Trees,99,unknown,,69,Trees,HighVeg,70,Trees,70,Trees,70,,0,nocrop,0,nocrop,69,tree,0,nocrop,10,Not crop,"Trees, generic"
80,Trees-Forest,80,Trees-Forest,HighVeg_natural,80,Trees_Forest,HighVeg,70,Trees,70,Trees,70,0.195441254,0,nocrop,0,nocrop,69,tree,0,nocrop,10,Not crop,">90% canopy closure of trees with large, heterogenous crowns"
99,unknown,99,unknown,,99,unknown,unknown,99,unknown,99,unknown,99,,99,unknown,99,unknown,99,unknown,99,unknown,99,unknown,no idea -- this is a placeholder for data checking and should be removed for all classification
