LC_UNQ,USE_NAME,LCTrans,LCTrans_name,LC5_name,LC5,LC17,LC17_name,LC3,LC3_name,LC4,LC4_name,LC2,LC2_name,LC_crops,LC_crops_name,Description
1,NoVeg_Bare,1,NoVeg_Bare,NoVeg,10,1,NoVeg_Bare,0,nocrop,0,nocrop,0,nocrop,10,Not crop,Bare soil/rock/sand throughout the year (NOT part of crop cycle)
3,NoVeg_Built,3,NoVeg_Built,NoVeg,10,3,NoVeg_Built,0,nocrop,0,nocrop,0,nocrop,10,Not crop,
7,NoVeg_Water,7,NoVeg_Water,NoVeg,10,7,NoVeg_Water,0,nocrop,0,nocrop,0,nocrop,10,Not crop,
10,Cleared,10,Cleared,LowVeg,20,10,Cleared,0,nocrop,0,nocrop,0,nocrop,10,Not crop,"Med/High vegetation has been cleared witin the year, but no other land use is evident"
15,Grassland,15,Grass,LowVeg,20,99,unknown,0,nocrop,0,nocrop,0,nocrop,10,Not crop,grass -- unknown if planted or natural
11,TreePlant-new,11,New_plant,LowVeg,20,11,NewPlant,0,nocrop,0,nocrop,0,nocrop,10,Not crop,<1 year
12,Grassland-Natural,15,Grass,LowVeg,20,12,Grassland-Natural,0,nocrop,0,nocrop,0,nocrop,10,Not crop,"natural grassland, dry year-round"
13,Grassland-Planted,15,Grass,LowVeg,20,13,Grassland-Planted,0,nocrop,0,nocrop,0,nocrop,10,Not crop,planted grass
17,Grassland-Natural-wet,15,Grass,LowVeg,20,12,Grassland-Natural,0,nocrop,0,nocrop,0,nocrop,10,Not crop,natural grassland that is flooded at some point in year
23,Crops-horticulture,35,Crop_mix,LowVeg,20,35,Crops-mix,1,crop,1,crop,1,crop,23,Horticulture,crops with greenhouse/tarp structure for part of year
30,Crop-Low,30,Crop_low,LowVeg,20,99,unknown,1,crop,1,crop,1,crop,10,Crops-unknown,unknown annual crop
31,Crops-Soybeans,30,Crop_low,LowVeg,20,31,Crops-Soybeans,1,crop,1,crop,1,crop,31,Soybeans,
32,Crops-Beans,30,Crop_low,LowVeg,20,35,Crops-mix,1,crop,1,crop,1,crop,35,Smallholder mix,
33,Crops-Corn,30,Crop_low,LowVeg,20,33,Crops-Corn,1,crop,1,crop,1,crop,33,Corn,
34,Crops-Mandioca,30,Crop_low,LowVeg,20,35,Crops-mix,1,crop,1,crop,1,crop,35,Smallholder mix,
35,Crops-mix,35,Crop_mix,LowVeg,20,35,Crops-mix,1,crop,1,crop,1,crop,35,Smallholder mix,intercropping with each crop <30m across
37,Crops-Rice,30,Crop_low,LowVeg,20,37,Crops-Rice,1,crop,1,crop,1,crop,37,Rice,
38,Crops-Sugar,30,Crop_low,LowVeg,20,38,Crops-Sugar,1,crop,1,crop,1,crop,38,Sugar,
40,Crop_Med,40,Crop_shrub,MedVeg,40,99,unknown,2,medcrop,2,medcrop,1,crop,40,Shrub crops,unknown or other shrubby perrenial crops (i.e. vineyards)
41,Crops-Vineyard,40,Crop_shrub,MedVeg,40,41,Crops-Vineyard,2,medcrop,2,medcrop,1,crop,40,Shrub crops,
42,Crops-Yerba-Mate,40,Crop_shrub,MedVeg,40,42,Crops-Yerba-Mate,2,medcrop,2,medcrop,1,crop,40,Shrub crops,
45,Crops-Orchard-new,11,New_plant,LowVeg,20,99,unknown,1,crop,1,crop,1,crop,45,Tree crops,<1 year
46,Crops-Orchard,46,Crop_tree,MedVeg,40,46,Crops-Orchard,2,medcrop,2,medcrop,1,crop,50,Tree crops,
51,Grass_tree-mix,52,Shrub,MedVeg,50,51,Grass_tree-mix,0,nocrop,0,nocrop,0,nocrop,10,Not crop,Grassland with trees (<70% closed canopy)
52,Shrub,52,Shrub,MedVeg,50,52,Shrub,0,nocrop,0,nocrop,0,nocrop,10,Not crop,natural shrubs / regrowth
56,TreePlant-young,56,Young_plant,MedVeg,50,60,TreePlant,0,nocrop,0,nocrop,0,nocrop,10,Not crop,1-2 yrs
60,TreePlant,60,Tree_plant,HighVeg,70,60,TreePlant,0,nocrop,0,nocrop,0,nocrop,10,Not crop,age not specified (better to use age cat if known)
65,Trees-disturbed,65,Trees_disturbed,HighVeg,70,65,Trees-disturbed,0,nocrop,3,tree,0,nocrop,10,Not crop,Mature trees with gaps (>70% closed canopy) or <10m from edge
66,TreePlant-mature,66,Tree_plant,HighVeg,70,60,TreePlant,0,nocrop,3,tree,0,nocrop,10,Not crop,>=3 years
80,Trees-Forest,80,Trees_Forest,HighVeg,70,80,Trees-Forest,0,nocrop,3,tree,0,nocrop,10,Not crop,
99,unknown,99,unknown,unknown,99,99,unknown,99,unknown,99,unknown,99,unknown,99,unknown,no idea -- this is a placeholder for data checking and should be removed for all classification
