,Unnamed: 0,var_kndvi_maxv_yr,var_kndvi_minv_yr,var_kndvi_amp_yr,var_kndvi_avg_yr,var_kndvi_sd_yr,var_kndvi_maxv_wet,var_kndvi_minv_wet,var_kndvi_med_wet,var_kndvi_cv_wet,var_kndvi_maxv_dry,var_kndvi_minv_dry,var_kndvi_med_dry,var_kndvi_cv_dry,var_kndvi_Jun_20,var_kndvi_Jul_20,var_kndvi_Aug_20,var_kndvi_Sep_20,var_kndvi_Oct_20,var_kndvi_Nov_20,var_kndvi_Dec_20,var_kndvi_Jan_20,var_kndvi_Feb_20,var_kndvi_Mar_20,var_kndvi_Apr_20,var_kndvi_May_20,var_gcvi_maxv_yr,var_gcvi_minv_yr,var_gcvi_amp_yr,var_gcvi_avg_yr,var_gcvi_sd_yr,var_gcvi_maxv_wet,var_gcvi_minv_wet,var_gcvi_med_wet,var_gcvi_cv_wet,var_gcvi_maxv_dry,var_gcvi_minv_dry,var_gcvi_med_dry,var_gcvi_cv_dry,var_gcvi_Jun_20,var_gcvi_Jul_20,var_gcvi_Aug_20,var_gcvi_Sep_20,var_gcvi_Oct_20,var_gcvi_Nov_20,var_gcvi_Dec_20,var_gcvi_Jan_20,var_gcvi_Feb_20,var_gcvi_Mar_20,var_gcvi_Apr_20,var_gcvi_May_20,var_ndmi_maxv_yr,var_ndmi_minv_yr,var_ndmi_amp_yr,var_ndmi_avg_yr,var_ndmi_sd_yr,var_ndmi_maxv_wet,var_ndmi_minv_wet,var_ndmi_med_wet,var_ndmi_cv_wet,var_ndmi_maxv_dry,var_ndmi_minv_dry,var_ndmi_med_dry,var_ndmi_cv_dry,var_ndmi_Jun_20,var_ndmi_Jul_20,var_ndmi_Aug_20,var_ndmi_Sep_20,var_ndmi_Oct_20,var_ndmi_Nov_20,var_ndmi_Dec_20,var_ndmi_Jan_20,var_ndmi_Feb_20,var_ndmi_Mar_20,var_ndmi_Apr_20,var_ndmi_May_20,var_nbr_maxv_yr,var_nbr_minv_yr,var_nbr_amp_yr,var_nbr_avg_yr,var_nbr_sd_yr,var_nbr_maxv_wet,var_nbr_minv_wet,var_nbr_med_wet,var_nbr_cv_wet,var_nbr_maxv_dry,var_nbr_minv_dry,var_nbr_med_dry,var_nbr_cv_dry,var_nbr_Jun_20,var_nbr_Jul_20,var_nbr_Aug_20,var_nbr_Sep_20,var_nbr_Oct_20,var_nbr_Nov_20,var_nbr_Dec_20,var_nbr_Jan_20,var_nbr_Feb_20,var_nbr_Mar_20,var_nbr_Apr_20,var_nbr_May_20,var_kndvi_posv_wet,var_BH,var_SH,var_Chaco,var_Cer,var_poly_ext,var_poly_dst,var_poly_cropbnds,var_poly_area,var_poly_APR,var_poly_NovDecStd,OID_,imgDate,LC5,LC,LC2,HOMONBHD9,PIDi,obs_type,LC_UNQ,PID,XCoord,YCoord,cent_lat,cent_long,sampgroup
158,4159,6185,804,5381,3404,1831,5617,868,2651,634,2312,804,1082,401,4186,1058,1082,2934,5212,5450,5382,868,1059,3872,5688,4486,7353,1362,5991,3411,1472,4379,1362,2823,365,2248,1476,1724,127,4273,1835,1476,2706,4166,4230,3944,1769,1995,3753,5552,4731,4539,294,4245,1801,1421,3703,294,1177,845,315,295,300,19,2515,295,300,467,2777,3264,3462,295,302,1812,3805,2939,6990,1189,5801,4081,1895,6627,1189,3723,579,3055,1363,2349,261,5433,2665,1509,3170,5767,6132,6432,1793,1189,3867,6367,4747,5320,1,0,0,0,7543,0,10000,12,61,685,5253,1/1/2022,20.0,30.0,30,,0005253_0,direct_GE,30.0,0005253_0,2976810,-3215170,-25.44913507,-57.41743803,D1119_Central_JAS
367,1620,6427,4301,2126,5478,584,5767,4616,5219,62,5846,4301,5052,107,5936,5846,4396,5193,5396,5637,5399,5105,4616,5772,6427,6384,7818,4525,3293,5838,997,5947,4525,5131,74,6954,4585,5580,134,7171,6954,5193,4637,5558,5497,5238,5053,4525,5514,7818,7611,3944,2249,1695,3029,493,3110,2482,2755,70,3148,2335,2713,111,3373,3148,2567,2411,2744,3027,2783,2759,2482,3266,3916,3944,6892,4513,2379,5907,582,6116,5265,5758,35,6084,5058,5589,66,6240,6084,5445,5222,5570,5775,5695,5870,5265,6146,6892,6783,6427,1,0,0,0,359,4,0,0,0,0,1847,1/15/2022,40.0,30.0,30,6.0,0001847_0,indirect_GE,46.0,0001847_0,2998000,-3208930,-25.39797505,-57.19185067,D0301_Cordillera_C
425,3751,4650,903,3747,3449,899,4132,2360,3435,131,3959,903,1994,453,4411,3959,903,2671,2870,3783,3468,2994,3491,4634,4230,3994,3751,1276,2475,2879,547,3311,2411,2883,76,3345,1276,2094,319,3557,3345,1276,2403,2482,2957,2821,2781,3053,3506,3269,3070,2719,292,2427,1251,827,1516,388,685,395,2394,292,887,744,2596,2394,353,320,352,874,779,492,550,2303,2018,2015,5864,1100,4764,3919,1184,4628,3052,3394,109,5401,1100,2654,507,5581,5401,1100,2717,2951,3391,3192,3392,3795,5321,4977,5038,4650,1,0,0,0,5375,2356,8212,0,0,0,4744,1/1/2022,20.0,30.0,30,,0004744_0,direct_GE,38.0,0004744_0,2984730,-3214710,-25.44536327,-57.33121633,D1106_Central_I
628,3963,5468,1126,4342,3703,1261,4233,1126,2961,367,4143,2384,2774,229,5151,4143,2464,2698,3463,4233,1126,2072,3237,5011,5428,5148,4697,1964,2733,3246,847,3269,2095,2719,149,3718,1964,2583,204,4260,3718,1964,2784,2878,3175,2247,2238,2871,4109,4559,4188,3834,297,3537,1964,1155,2021,297,478,764,3137,1183,1849,376,3834,3094,1416,1137,1587,1936,367,297,374,2529,3362,3533,6754,1212,5542,4694,1488,4942,1212,3087,375,6136,3990,4780,170,6661,6063,4241,3930,4502,4942,1212,2483,3749,5453,6346,6359,5468,1,0,0,0,480,64,88,0,0,0,4957,1/1/2022,20.0,30.0,30,,0004957_0,direct_GE,38.0,0004957_0,2984660,-3213460,-25.43511413,-57.33324933,D1106_Central_I
639,3974,6181,1209,4972,3894,1567,4639,3197,3850,98,2763,1209,1480,297,5253,1764,1305,2015,3166,4045,3684,3197,4095,5916,6145,5662,5364,1295,4069,3489,1162,3909,2991,3316,82,2968,1295,1932,247,4668,2331,1295,2260,2845,3456,2991,3041,3564,5281,5339,4376,4538,298,4240,1879,1429,2110,548,1239,339,1467,298,320,718,3616,777,311,315,892,1503,1196,548,1097,3631,4271,3953,7403,1583,5820,4428,1795,4932,3304,3990,110,4229,1583,1908,382,6544,3287,1647,1936,3253,4131,3883,3317,4317,6576,7132,6764,6181,1,0,0,0,1396,255,1184,0,0,0,4968,1/1/2022,20.0,30.0,30,,0004968_0,direct_GE,38.0,0004968_0,2983300,-3212440,-25.42675117,-57.34916715,D1106_Central_I
656,3991,5622,1658,3964,3698,1157,4845,2531,3747,169,2916,1658,2176,182,4533,2503,1860,2880,2749,2925,3400,3851,4570,5171,5622,4513,8664,2278,6386,4467,1667,5093,3461,4354,91,3212,2278,2587,121,4950,2971,2399,3261,3123,4059,4228,4315,4790,5752,8664,6063,3338,299,3039,1636,1009,2724,1041,1767,227,713,299,340,352,1990,515,299,462,576,1357,1716,1785,2307,3084,3338,2347,6205,1035,5170,3782,1518,5255,2239,3833,193,3056,1035,1828,373,4742,2804,1035,2254,2325,3383,3370,4030,4708,5818,6176,4919,4845,1,0,0,0,20,177,2,0,0,0,4985,1/1/2022,40.0,30.0,30,,0004985_0,direct_GE,40.0,0004985_0,2981600,-3203640,-25.35461269,-57.37666021,D1106_Central_I
663,3999,6129,3379,2750,4950,861,6087,3379,4366,192,4900,3533,4090,117,5366,4900,3799,4244,5723,5905,4910,3379,4099,5699,6129,5968,5998,3291,2707,4572,797,5715,3689,4223,154,4150,3291,3543,89,4645,4150,3291,3738,5454,5493,4603,3689,3829,5235,5767,5690,3807,309,3498,2013,1172,3389,313,985,762,2163,309,893,628,2664,2163,447,901,2798,2971,1488,313,630,3059,3752,3512,6672,2723,3949,4911,1249,6441,2723,4109,299,4877,3304,3783,152,5546,4877,3304,3809,5772,6033,4493,2723,3815,6060,6672,6493,6087,1,0,0,0,0,11,0,0,0,0,4993,1/1/2022,40.0,30.0,30,,0004993_0,direct_GE,46.0,0004993_0,2985990,-3210130,-25.40781264,-57.32206582,D1106_Central_I
672,4,5017,1325,3692,3351,1040,5017,1325,3656,333,3131,1634,2011,239,3594,2973,1634,2074,3696,1423,3271,4735,3824,4121,4634,3861,4753,1724,3029,3170,716,4753,2434,3583,191,2757,1724,2218,160,3042,2715,1724,2242,3258,2532,3387,4433,3837,3541,3763,3291,2876,297,2579,1207,858,2876,442,2043,502,395,299,300,106,543,299,299,328,824,537,1142,2559,2197,2033,2237,1373,5153,656,4497,3075,1416,5153,1637,4120,337,2366,656,835,523,3143,2117,746,1066,3242,1747,3149,4885,4338,4154,4917,3688,5017,1,0,0,0,1536,502,365,0,13,254,4,7/1/2022,-1.0,30.0,30,,0000004_0,indirect_GE,40.0,0000004_0,3018530,-2960850,-23.37287371,-57.20832063,D0102_Concepcion_B
768,149,3959,1555,2404,2496,547,3535,1769,2561,199,2230,1555,1903,122,3459,2135,1555,2017,2522,3535,2545,2019,2411,2557,2621,2777,3324,2066,1258,2602,294,2883,2313,2588,63,2489,2066,2240,72,3153,2489,2066,2296,2554,2883,2535,2468,2627,2732,2731,2936,1718,295,1423,469,290,936,299,364,461,300,295,299,5,1169,300,300,406,398,936,445,299,329,311,538,418,4454,1320,3134,2434,739,3874,1821,2594,262,2184,1320,1490,180,3706,1906,1380,1788,2360,3730,2715,2112,1989,2177,3244,2503,3535,1,0,0,0,16,243,11,0,0,0,152,7/1/2022,20.0,30.0,30,,0000152_0,indirect_GE,30.0,0000152_0,3011170,-2965560,-23.41116754,-57.283938,D0102_Concepcion_B
801,195,6234,3100,3134,5202,901,6234,4947,5722,75,4553,3100,3687,142,5379,4553,3100,3993,5133,6124,5640,5684,4992,5739,6181,5956,7221,2742,4479,5260,1315,7084,4248,5834,164,4323,2742,3349,172,5599,4323,2742,3487,4938,6901,5668,6097,4390,5759,6803,6853,3630,336,3294,2453,1022,3630,2707,3112,107,1397,336,612,500,2361,1397,375,1019,2396,3630,3066,2785,2744,3306,3256,3198,6523,2471,4052,5104,1150,6523,5053,5827,83,4068,2471,3217,185,4801,4040,2471,3709,5243,6523,5740,5558,5166,5787,6283,5901,5799,1,0,0,0,0,169,0,0,0,0,201,7/1/2022,40.0,30.0,30,3.0,0000201_0,indirect_GE,46.0,0000201_0,3012620,-2965710,-23.41238719,-57.26804555,D0102_Concepcion_B
