,Unnamed: 0,var_kndvi_maxv_yr,var_kndvi_minv_yr,var_kndvi_amp_yr,var_kndvi_avg_yr,var_kndvi_sd_yr,var_kndvi_maxv_wet,var_kndvi_minv_wet,var_kndvi_med_wet,var_kndvi_cv_wet,var_kndvi_maxv_dry,var_kndvi_minv_dry,var_kndvi_med_dry,var_kndvi_cv_dry,var_kndvi_Jun_20,var_kndvi_Jul_20,var_kndvi_Aug_20,var_kndvi_Sep_20,var_kndvi_Oct_20,var_kndvi_Nov_20,var_kndvi_Dec_20,var_kndvi_Jan_20,var_kndvi_Feb_20,var_kndvi_Mar_20,var_kndvi_Apr_20,var_kndvi_May_20,var_gcvi_maxv_yr,var_gcvi_minv_yr,var_gcvi_amp_yr,var_gcvi_avg_yr,var_gcvi_sd_yr,var_gcvi_maxv_wet,var_gcvi_minv_wet,var_gcvi_med_wet,var_gcvi_cv_wet,var_gcvi_maxv_dry,var_gcvi_minv_dry,var_gcvi_med_dry,var_gcvi_cv_dry,var_gcvi_Jun_20,var_gcvi_Jul_20,var_gcvi_Aug_20,var_gcvi_Sep_20,var_gcvi_Oct_20,var_gcvi_Nov_20,var_gcvi_Dec_20,var_gcvi_Jan_20,var_gcvi_Feb_20,var_gcvi_Mar_20,var_gcvi_Apr_20,var_gcvi_May_20,var_ndmi_maxv_yr,var_ndmi_minv_yr,var_ndmi_amp_yr,var_ndmi_avg_yr,var_ndmi_sd_yr,var_ndmi_maxv_wet,var_ndmi_minv_wet,var_ndmi_med_wet,var_ndmi_cv_wet,var_ndmi_maxv_dry,var_ndmi_minv_dry,var_ndmi_med_dry,var_ndmi_cv_dry,var_ndmi_Jun_20,var_ndmi_Jul_20,var_ndmi_Aug_20,var_ndmi_Sep_20,var_ndmi_Oct_20,var_ndmi_Nov_20,var_ndmi_Dec_20,var_ndmi_Jan_20,var_ndmi_Feb_20,var_ndmi_Mar_20,var_ndmi_Apr_20,var_ndmi_May_20,var_nbr_maxv_yr,var_nbr_minv_yr,var_nbr_amp_yr,var_nbr_avg_yr,var_nbr_sd_yr,var_nbr_maxv_wet,var_nbr_minv_wet,var_nbr_med_wet,var_nbr_cv_wet,var_nbr_maxv_dry,var_nbr_minv_dry,var_nbr_med_dry,var_nbr_cv_dry,var_nbr_Jun_20,var_nbr_Jul_20,var_nbr_Aug_20,var_nbr_Sep_20,var_nbr_Oct_20,var_nbr_Nov_20,var_nbr_Dec_20,var_nbr_Jan_20,var_nbr_Feb_20,var_nbr_Mar_20,var_nbr_Apr_20,var_nbr_May_20,var_kndvi_posv_wet,var_BH,var_SH,var_Chaco,var_Cer,var_poly_ext,var_poly_dst,var_poly_cropbnds,var_poly_area,var_poly_APR,var_poly_NovDecStd,OID_,imgDate,LC5,LC,LC2,HOMONBHD9,PIDi,obs_type,LC_UNQ,PID,XCoord,YCoord,cent_lat,cent_long,sampgroup
0,3822,5607,3573,2034,4681,613,5370,3669,4574,105,4315,3573,3787,72,5074,4315,3694,4041,5460,5270,4793,4041,4489,5216,5607,5235,6357,3184,3173,4677,807,5582,3748,4629,113,4113,3184,3591,84,5056,4113,3437,3669,5425,5582,4862,4061,4518,5266,6357,5450,3379,1025,2354,2208,680,2851,1062,1907,274,1990,1025,1458,220,2491,1990,1458,1539,2733,2682,2034,1195,1781,2892,3323,3027,5923,3503,2420,4624,720,5351,3503,4323,126,4219,3621,4061,59,5015,4204,4219,3775,5111,5180,4560,3848,4139,5403,5836,5545,5370,1,0,0,0,0,2,0,0,0,0,4815,1/1/2022,40.0,98.0,0,,0004815_0,direct_GE,48.0,0004815_0,2978820,-3208030,-25.39059714,-57.40265229,D1106_Central_I
1,3848,6550,4627,1923,5763,561,6360,5097,5851,78,5513,4627,5007,64,5917,5513,4650,5277,6477,6360,6245,5382,5196,6089,6550,6386,8776,3803,4973,6124,1366,7347,3803,5731,174,6012,3977,4338,143,6934,6012,4313,4566,7474,7347,6407,4840,5113,5981,8515,8294,4010,1901,2109,3043,544,3637,2433,2952,123,2698,1901,2192,124,3400,2698,2098,2421,3435,3637,3200,2630,2657,3692,3787,3627,6970,4411,2559,5878,646,6322,5054,5958,65,5562,4411,4789,83,6415,5469,4768,5207,6184,6322,6154,5440,5540,6523,6798,6577,6123,1,0,0,0,0,0,0,0,0,0,4841,1/1/2022,70.0,80.0,0,,0004841_0,direct_GE,80.0,0004841_0,2978700,-3208020,-25.39051516,-57.40397554,D1106_Central_I
2,3854,5704,3490,2214,4628,632,5301,3490,4066,141,4395,3699,3974,60,4875,4395,3719,4216,5281,5301,4716,3736,3904,5070,5704,5405,5744,3062,2682,4196,742,4630,3062,3576,142,4139,3380,3653,72,4557,4139,3387,3837,4722,4630,3894,3169,3398,4606,5744,5602,2855,592,2263,1576,691,2449,592,1129,455,1134,614,856,210,1370,1134,614,995,1957,2449,1580,610,945,2183,2855,2405,5638,3144,2494,4183,773,5158,3144,3835,173,3685,3179,3256,56,4092,3685,3196,3392,4628,5158,4363,3227,3427,4797,5638,5138,5704,1,0,0,0,0,0,0,0,0,0,4847,1/1/2022,99.0,98.0,0,,0004847_0,direct_GE,98.0,0004847_0,2978700,-3207570,-25.3868263,-57.40442952,D1106_Central_I
3,3887,4221,2001,2220,3141,607,3541,2803,3069,77,2893,2001,2199,128,2885,2199,2218,3018,3898,3443,2872,2803,3436,3820,3552,4135,4700,2048,2652,3206,648,3497,2961,3157,58,2804,2048,2369,89,2643,2398,2048,3081,3804,3473,3009,2961,3376,3917,3499,4514,2577,465,2112,1373,550,1723,953,1161,207,1063,465,718,253,1233,718,540,998,1815,1542,953,996,1723,1959,2002,2577,4655,2540,2115,3389,577,4007,2811,3198,113,2982,2540,2673,51,3556,2673,2649,2969,3703,3783,2811,2843,3614,3955,4178,4633,4170,1,0,0,0,4,907,0,0,0,0,4880,1/1/2022,20.0,98.0,0,,0004880_0,direct_GE,23.0,0004880_0,2978490,-3214390,-25.44273945,-57.39983874,D1106_Central_I
4,3891,6679,4069,2610,5639,700,6331,4853,5649,88,5388,4069,4679,93,5647,4917,4287,5503,6540,6331,6110,5093,5116,6249,6679,6181,8797,3625,5172,5997,1516,7481,4235,5354,190,5019,3625,4075,121,6705,5019,3625,4697,7789,7481,6254,4572,4612,6307,8797,8795,4466,886,3580,2953,912,3674,2084,2808,183,2406,886,1530,294,2874,1787,1145,2892,3783,3674,3022,2182,2571,3846,4158,4341,7493,3945,3548,5802,963,6542,4626,5736,112,5026,3945,4257,89,5733,4687,3961,5524,6634,6542,6094,4963,5208,6781,7178,6884,6679,1,0,0,0,0,0,0,0,0,0,4884,1/1/2022,70.0,80.0,0,,0004884_0,direct_GE,80.0,0004884_0,2978670,-3208610,-25.39535177,-57.40370849,D1106_Central_I
7,4008,4077,1853,2224,3128,562,3258,1853,2836,165,3516,2512,2710,130,3443,3516,2604,2787,3251,3146,2587,2215,3011,3773,4077,3963,4276,2472,1804,3247,516,3219,2472,2891,102,3598,2647,2761,113,3623,3598,2711,2930,3331,3208,2789,2472,2982,3850,4256,4056,2387,503,1884,1374,457,1539,503,1063,302,1468,976,1043,165,1229,1468,976,1082,1475,1304,993,503,1044,2014,2387,2055,4315,2019,2296,3215,569,3344,2019,2566,153,3736,2903,3328,78,3170,3736,3641,2812,3184,3075,2457,2019,2666,3761,4315,4077,3773,1,0,0,0,30,7,0,0,0,0,5002,1/31/2022,70.0,80.0,0,2.0,0005002_0,direct_GE,80.0,0005002_0,2978030,-3214590,-25.44437934,-57.40467126,D1119_Central_JAS
8,4009,4017,2417,1600,3020,524,3092,2525,2648,61,3131,2466,2638,93,3712,3125,2479,2537,2480,3092,2710,2639,2724,3532,3998,3648,4156,2564,1592,3116,470,3108,2643,2802,45,3109,2564,2822,68,3759,3101,2673,2766,2757,3108,2889,2784,2759,3554,4063,3886,1796,419,1377,918,355,1231,565,872,186,920,461,659,253,1124,892,584,425,431,808,945,703,1049,1796,1484,966,3523,1583,1940,2525,523,2996,2027,2470,105,2879,1903,2149,166,3019,2879,2001,1795,1583,2827,2644,2228,2577,3523,3266,2862,3595,1,0,0,0,0,23,0,0,0,0,5003,12/13/2022,99.0,98.0,0,3.0,0005003_0,indirect_GE,13.0,0005003_0,2975490,-3211480,-25.41888042,-57.43561307,D1119_Central_JAS
9,4010,3698,1774,1924,3037,510,3698,2813,3071,84,3053,2399,2797,74,3463,2941,2792,2240,2058,3079,3051,3413,3267,3522,3499,3393,3804,2064,1740,3213,427,3709,3099,3253,69,3224,2064,3031,144,3701,3224,2064,2819,2723,3257,3103,3709,3421,3718,3758,3173,2548,509,2039,1418,395,1679,1187,1473,84,1610,812,1279,181,1942,1374,1206,649,853,1607,1449,1589,1433,2548,1622,1485,4997,1850,3147,3342,638,4095,3231,3362,70,3531,2315,3227,122,3929,3266,3227,2043,2276,3634,3276,3680,3523,4997,3804,3571,3267,1,0,0,0,872,7601,2788,0,0,0,5004,8/1/2021,10.0,98.0,0,1.0,0005004_0,direct_GE,3.0,0005004_0,2975570,-3213560,-25.43593405,-57.43263729,D1119_Central_JAS
10,4011,5954,3135,2819,4772,807,5579,4162,4885,90,4267,3135,3478,118,4840,4267,3135,3626,5480,5579,5082,4162,4725,5325,5954,5813,5835,3051,2784,4399,756,4922,3815,4324,86,3983,3051,3353,97,4417,3983,3051,3569,4855,4908,4025,3871,4616,4971,5835,5515,3854,616,3238,2559,887,3204,2447,2748,93,2009,616,1108,423,2719,2000,794,905,2478,3157,2630,2447,2989,3307,3793,3854,6232,2880,3352,4834,971,5910,4523,5088,82,4232,2880,3298,153,4867,4232,2927,3211,4759,5745,5035,4523,5506,5652,6232,6168,5954,1,0,0,0,0,2,0,0,0,0,5005,1/31/2022,99.0,98.0,0,3.0,0005005_0,indirect_GE,48.0,0005005_0,2975300,-3209110,-25.39945066,-57.44008314,D1119_Central_JAS
11,4012,3738,2474,1264,3037,341,2957,2631,2766,31,3103,2474,2765,83,3515,3103,2561,3041,3367,2811,2720,2631,2792,3216,3457,3516,3457,2312,1145,2849,289,2910,2473,2625,45,2983,2312,2677,86,3360,2983,2312,2771,2949,2549,2473,2627,2838,3040,3137,3304,1703,588,1115,1004,317,933,604,743,148,974,588,859,177,1226,930,625,899,1434,933,604,661,789,1183,1559,1637,3635,2129,1506,2772,369,2785,2129,2471,82,2746,2289,2578,66,3070,2675,2289,2684,3215,2746,2240,2360,2550,2995,3366,3380,3400,1,0,0,0,0,0,0,0,0,0,5006,8/1/2021,99.0,98.0,0,4.0,0005006_0,indirect_GE,3.0,0005006_0,2974580,-3216130,-25.45700685,-57.44087615,D1119_Central_JAS
