,Unnamed: 0,var_kndvi_maxv_yr,var_kndvi_minv_yr,var_kndvi_amp_yr,var_kndvi_avg_yr,var_kndvi_sd_yr,var_kndvi_maxv_wet,var_kndvi_minv_wet,var_kndvi_med_wet,var_kndvi_cv_wet,var_kndvi_maxv_dry,var_kndvi_minv_dry,var_kndvi_med_dry,var_kndvi_cv_dry,var_kndvi_Jun_20,var_kndvi_Jul_20,var_kndvi_Aug_20,var_kndvi_Sep_20,var_kndvi_Oct_20,var_kndvi_Nov_20,var_kndvi_Dec_20,var_kndvi_Jan_20,var_kndvi_Feb_20,var_kndvi_Mar_20,var_kndvi_Apr_20,var_kndvi_May_20,var_gcvi_maxv_yr,var_gcvi_minv_yr,var_gcvi_amp_yr,var_gcvi_avg_yr,var_gcvi_sd_yr,var_gcvi_maxv_wet,var_gcvi_minv_wet,var_gcvi_med_wet,var_gcvi_cv_wet,var_gcvi_maxv_dry,var_gcvi_minv_dry,var_gcvi_med_dry,var_gcvi_cv_dry,var_gcvi_Jun_20,var_gcvi_Jul_20,var_gcvi_Aug_20,var_gcvi_Sep_20,var_gcvi_Oct_20,var_gcvi_Nov_20,var_gcvi_Dec_20,var_gcvi_Jan_20,var_gcvi_Feb_20,var_gcvi_Mar_20,var_gcvi_Apr_20,var_gcvi_May_20,var_ndmi_maxv_yr,var_ndmi_minv_yr,var_ndmi_amp_yr,var_ndmi_avg_yr,var_ndmi_sd_yr,var_ndmi_maxv_wet,var_ndmi_minv_wet,var_ndmi_med_wet,var_ndmi_cv_wet,var_ndmi_maxv_dry,var_ndmi_minv_dry,var_ndmi_med_dry,var_ndmi_cv_dry,var_ndmi_Jun_20,var_ndmi_Jul_20,var_ndmi_Aug_20,var_ndmi_Sep_20,var_ndmi_Oct_20,var_ndmi_Nov_20,var_ndmi_Dec_20,var_ndmi_Jan_20,var_ndmi_Feb_20,var_ndmi_Mar_20,var_ndmi_Apr_20,var_ndmi_May_20,var_nbr_maxv_yr,var_nbr_minv_yr,var_nbr_amp_yr,var_nbr_avg_yr,var_nbr_sd_yr,var_nbr_maxv_wet,var_nbr_minv_wet,var_nbr_med_wet,var_nbr_cv_wet,var_nbr_maxv_dry,var_nbr_minv_dry,var_nbr_med_dry,var_nbr_cv_dry,var_nbr_Jun_20,var_nbr_Jul_20,var_nbr_Aug_20,var_nbr_Sep_20,var_nbr_Oct_20,var_nbr_Nov_20,var_nbr_Dec_20,var_nbr_Jan_20,var_nbr_Feb_20,var_nbr_Mar_20,var_nbr_Apr_20,var_nbr_May_20,var_kndvi_posv_wet,var_BH,var_SH,var_Chaco,var_Cer,var_poly_ext,var_poly_dst,var_poly_cropbnds,var_poly_area,var_poly_APR,var_poly_NovDecStd,OID_,imgDate,LC5,LC,LC2,HOMONBHD9,PIDi,obs_type,LC_UNQ,PID,XCoord,YCoord,cent_lat,cent_long,sampgroup
5,4006,5691,1010,4681,4073,1304,5682,3311,4273,161,4076,1010,2919,475,4590,4076,1525,1345,3925,5682,4205,3311,4379,5670,5453,4947,5495,2496,2999,3981,815,5061,3335,4050,134,3700,2496,2866,151,4340,3700,2659,2644,3653,5061,3635,3335,4392,5495,4986,4450,3478,297,3181,1814,1061,3294,676,2008,401,925,297,345,484,1627,925,297,297,1676,3294,1741,676,2193,3478,3266,2832,6156,887,5269,4037,1495,5889,3089,4129,198,3500,1067,2396,388,4237,3500,1768,887,3794,5889,3988,3089,4150,5975,5983,5553,5682,1,0,0,0,1607,392,5151,0,0,0,5000,7/21/2022,20.0,30.0,30,5.0,0005000_0,indirect_GE,35.0,0005000_0,2977660,-3213790,-25.43781986,-57.40952991,D1119_Central_JAS
6,4007,5029,1138,3891,3328,951,5029,3705,3875,103,3493,2402,2868,137,3934,2402,3209,3489,3315,3854,3813,3897,4783,4270,1427,1430,4878,2382,2496,3406,646,4878,3577,3883,103,3145,2603,2817,61,3657,2691,2914,3225,3183,3869,3577,3898,4669,4138,2496,2382,2897,318,2579,1579,688,2897,1719,1984,165,2062,671,1396,368,1445,723,1632,1767,1612,2023,1843,1914,2628,2598,378,391,5202,1178,4024,3476,921,5202,3705,4039,100,3776,2867,3246,95,3609,2877,3275,3473,3266,4004,4075,3951,4808,4691,1827,1978,5029,1,0,0,0,3698,63,9965,0,0,0,5001,12/13/2022,20.0,30.0,30,6.0,0005001_0,indirect_GE,35.0,0005001_0,2976850,-3211920,-25.42248781,-57.42028462,D1119_Central_JAS
14,4015,4936,1081,3855,2959,1244,3654,1726,3002,175,3195,1081,1354,452,4461,2745,1081,1384,1117,2309,3419,2902,2864,4092,4747,4429,4729,2191,2538,3390,780,3880,2830,3449,82,3080,2210,2350,134,4025,3028,2210,2560,2321,3192,3494,3326,3465,4296,4638,4338,2482,299,2183,1105,727,1609,337,972,366,628,299,303,308,1892,490,299,300,300,765,1609,866,881,1946,2468,1884,4772,632,4140,2671,1341,3655,1200,2701,230,2698,632,791,596,4281,2595,632,664,882,2611,3655,2658,2464,4128,4644,3871,4936,1,0,0,0,4909,526,9018,0,0,0,5009,8/1/2021,20.0,30.0,30,8.0,0005009_0,direct_GE,35.0,0005009_0,2973150,-3216050,-25.45635086,-57.45660946,D1119_Central_JAS
18,4019,5079,2930,2149,3960,541,4563,3327,3714,111,4185,2930,3394,136,4669,4185,2930,3640,4461,3796,4563,3327,3758,4378,4388,4576,4474,2241,2233,3497,476,4048,3098,3465,75,3818,2241,2991,185,4115,3818,2241,3234,3709,3390,3766,3098,3522,3979,3842,3857,2067,315,1752,1204,426,1861,459,1191,352,1180,315,668,432,1701,1180,315,740,1650,1147,1356,459,1327,1745,1529,1573,4473,1805,2668,3239,596,4403,2769,3166,147,3144,1805,2469,208,3740,3068,1805,2737,3838,3172,3782,2822,3432,4063,3667,3420,4468,1,0,0,0,0,123,0,0,0,0,5013,7/13/2021,20.0,30.0,30,3.0,0005013_0,direct_GE,35.0,0005013_0,2973970,-3214310,-25.4420835,-57.44939183,D1119_Central_JAS
24,4025,4065,1073,2992,2802,556,3431,1073,2492,239,3350,2501,3028,114,3998,2501,3309,3300,2495,3033,2467,2060,3000,2528,2498,3130,3026,2074,952,2524,236,3001,2074,2354,110,2822,2448,2627,47,2768,2533,2627,2723,2387,2585,2150,2400,2745,2436,2413,2740,2075,366,1709,1129,484,1483,366,680,437,2075,726,1499,289,1274,1049,2075,1499,824,1384,659,420,752,605,1096,1927,4597,1928,2669,3106,705,3810,1928,2479,229,3980,2977,3473,95,4529,3081,3980,3255,2448,3399,2446,2071,2942,2225,3259,3954,3060,1,0,0,0,32,300,10,0,11,207,5019,7/21/2022,20.0,30.0,30,8.0,0005019_0,indirect_GE,35.0,0005019_0,2977530,-3214690,-25.44519928,-57.41004276,D1119_Central_JAS
36,4037,5430,1946,3484,3317,998,4384,1946,3806,240,2858,1978,2254,148,2257,2012,2396,2857,3103,4188,4268,2021,3961,4409,4951,3291,5235,2670,2565,3513,707,4344,2818,3821,138,2994,2670,2733,38,2767,2733,2700,3135,3188,4071,3922,2818,4139,4295,4488,3658,3102,446,2656,1519,792,2583,446,1937,447,1511,498,995,322,547,685,1181,985,1196,2452,2162,446,1822,2152,2874,1048,5214,1411,3803,3363,1012,4697,2651,3891,190,3227,1411,2517,225,1955,2184,2887,2791,2938,4428,4280,2651,3944,4245,5096,2886,5430,1,0,0,0,1192,4062,5175,0,0,0,5031,1/31/2022,20.0,30.0,30,6.0,0005031_0,indirect_GE,35.0,0005031_0,2974760,-3213370,-25.43437621,-57.44169455,D1119_Central_JAS
44,4045,4269,2886,1383,3449,389,4177,2886,3210,103,3441,2984,3223,45,3769,3441,3114,3218,3135,3587,3018,3172,3508,3716,3753,4202,3935,1994,1941,3272,375,3730,2727,3093,85,3423,1994,3056,145,3677,3289,1994,3127,3367,3450,2854,3077,3345,3445,3586,3881,2056,653,1403,1366,315,1896,653,1147,305,1676,1130,1399,124,1336,1399,1498,1478,1263,1256,653,922,1477,1450,1609,1831,4339,2746,1593,3405,385,4138,2746,3063,119,3590,3182,3433,47,3363,3433,3538,3193,3035,3450,2746,3085,3334,3474,3974,3946,4177,1,0,0,0,426,1941,34,0,0,0,5039,7/21/2022,20.0,30.0,30,8.0,0005039_0,indirect_GE,35.0,0005039_0,2975360,-3213390,-25.43454019,-57.43510743,D1119_Central_JAS
62,4063,5800,3261,2539,4309,693,5800,4409,5088,87,4471,3261,3356,136,4726,4471,3261,3542,3926,5525,5234,4409,5147,4340,4084,3582,5105,2970,2135,3891,588,5105,3841,4671,70,3803,2970,3089,96,4033,3803,3025,3295,3618,4734,4397,4287,4899,3946,3610,3450,3486,1079,2407,2147,637,3486,2285,2870,122,2437,1079,1572,304,2296,2437,1273,1217,2014,3173,3068,2433,2816,2110,1754,1459,6184,3220,2964,4540,804,6184,4523,5416,78,4888,3220,3611,166,4934,4888,3319,3246,3997,5793,5579,5151,5290,4423,4359,3782,5800,1,0,0,0,71,1330,61,0,0,0,5057,7/13/2021,20.0,30.0,30,8.0,0005057_0,indirect_GE,35.0,0005057_0,2976760,-3212070,-25.42371762,-57.42111813,D1119_Central_JAS
67,4068,6342,2300,4042,4524,1258,6342,3327,4941,216,3584,2300,2683,152,5027,3173,2300,3235,4393,6342,5125,3327,4757,5876,6022,5018,7475,2702,4773,4771,1380,7475,3612,4958,240,3675,2702,3010,105,4938,3439,2702,3204,4296,7290,5238,3612,4678,6072,6785,5120,3990,568,3422,2305,1179,3990,1254,2684,357,1126,568,687,263,1683,790,568,987,2272,3953,2896,1254,2472,3823,3750,2911,6736,2032,4704,4770,1511,6736,3757,5356,206,3376,2032,2464,171,5098,2705,2157,3054,4517,6736,5661,3783,5052,6535,6478,5503,6342,1,0,0,0,3,564,1,0,0,0,5062,12/13/2022,20.0,30.0,30,5.0,0005062_0,indirect_GE,35.0,0005062_0,2975400,-3215490,-25.45175897,-57.43254766,D1119_Central_JAS
82,4083,3033,1288,1745,2031,500,2176,1288,1600,140,2757,2428,2598,48,3000,2598,2703,2395,2239,1726,1288,1609,1652,1654,1552,1653,2803,1425,1378,2184,394,2469,1425,1886,179,2537,2360,2433,24,2767,2433,2517,2385,2413,2469,1955,1677,1574,1708,1834,2572,1719,322,1397,1081,414,1023,322,652,371,1569,1422,1474,29,1719,1474,1422,1290,1081,558,384,881,859,1247,1682,899,3846,1120,2726,2961,654,3521,1120,2543,278,3551,3296,3517,24,3846,3542,3517,2984,2955,2577,1373,2766,2740,3287,3725,2665,2176,1,0,0,0,109,802,17,0,0,0,5077,1/31/2022,20.0,30.0,30,8.0,0005077_0,indirect_GE,35.0,0005077_0,2976440,-3214210,-25.44126356,-57.42245833,D1119_Central_JAS
101,4102,5896,1337,4559,4064,1223,5896,4921,5458,60,3864,3314,3491,55,4216,3821,3422,4140,4219,5756,5688,4966,5631,3708,2260,1391,5153,2388,2765,3797,758,5153,4181,4793,66,3538,2947,3062,63,4018,3538,3014,3589,3685,4975,4831,4181,4972,3577,2937,2531,3381,304,3077,1735,1003,3381,2452,3023,87,827,572,733,131,1010,827,589,1055,1559,3010,3202,2758,3241,2363,939,590,6122,1645,4477,4137,1184,6122,4761,5693,76,3564,3108,3306,42,3775,3564,3187,3779,3820,5734,5996,5201,6122,4457,2766,2346,5896,1,0,0,0,1990,3477,7392,0,20,460,5096,12/13/2022,20.0,30.0,30,8.0,0005096_0,indirect_GE,35.0,0005096_0,2976930,-3211970,-25.42289775,-57.41935857,D1119_Central_JAS
